City,Lat,Temp,Humidity,Cloudiness,Wind_speed
the valley,18.22,81.55,83.0,20.0,3.36
marcona,,,,,
constitucion,23.99,63.0,70.0,38.0,5.99
rincon,8.46,63.0,100.0,100.0,2.01
sidi ali,36.1,70.5,79.0,99.0,8.66
khash,28.22,68.23,22.0,0.0,4.94
edmonton,53.54,35.17,74.0,75.0,8.05
palana,59.08,34.48,67.0,93.0,7.72
atasu,48.68,33.0,70.0,99.0,20.65
voznesenye,61.02,48.09,88.0,97.0,9.48
riyadh,24.63,82.4,32.0,0.0,8.59
sola,-3.17,76.01,60.0,72.0,2.98
rabo de peixe,37.8,59.0,72.0,20.0,5.82
okha,53.59,46.92,74.0,100.0,3.94
mahadday weyne,,,,,
ponta do sol,-20.63,65.93,90.0,82.0,3.06
belyy yar,53.6,30.2,74.0,75.0,13.42
bathsheba,13.22,80.6,74.0,20.0,6.93
ironton,38.54,56.14,71.0,75.0,6.93
arsk,56.09,35.6,80.0,90.0,11.18
attawapiskat,,,,,
saltpond,5.2,76.26,88.0,100.0,7.7
katsuura,33.93,72.43,60.0,75.0,11.41
umzimvubu,,,,,
lorengau,-2.02,83.22,77.0,88.0,6.87
gold coast,-28.0,74.71,56.0,0.0,21.92
skelleftea,64.75,24.39,79.0,0.0,4.7
nurota,40.56,68.0,32.0,0.0,6.93
lashio,22.93,88.39,45.0,15.0,2.62
mildura,-34.18,71.8,21.0,0.0,11.41
sal rei,16.18,77.0,83.0,75.0,14.99
karaul,,,,,
primore,,,,,
luderitz,-26.65,57.65,80.0,0.0,18.92
meadow lake,54.13,33.45,94.0,0.0,4.32
deming,32.27,46.78,48.0,1.0,11.41
panguna,-6.32,83.22,72.0,84.0,11.63
qiryat yam,32.85,71.56,78.0,20.0,3.36
saint george,39.45,57.09,93.0,40.0,5.82
kansanshi,-12.1,77.79,49.0,0.0,2.82
tripoli,37.51,62.73,82.0,0.0,2.53
tucuman,-17.17,52.59,64.0,75.0,1.99
mehamn,71.03,28.63,67.0,91.0,5.61
coralville,41.68,41.4,100.0,90.0,3.36
alamogordo,32.9,53.11,37.0,1.0,5.82
zarand,30.81,68.0,15.0,20.0,2.24
maxixe,-23.86,77.0,88.0,20.0,9.17
moerai,-22.43,72.6,84.0,100.0,20.33
abadiania,-16.2,70.91,44.0,44.0,3.47
laurel,39.1,51.31,87.0,1.0,5.35
cap malheureux,-19.98,77.45,65.0,75.0,13.87
xingyi,24.19,68.88,65.0,20.0,9.19
sambava,-14.27,78.08,64.0,60.0,4.5
port hardy,50.7,46.4,87.0,75.0,5.82
parras,,,,,
north bend,43.41,50.56,93.0,90.0,8.05
cururupu,-1.82,73.13,98.0,52.0,2.55
baturaja,-4.12,96.26,30.0,100.0,6.85
tamazulapam,,,,,
el cortezo,8.35,67.8,98.0,100.0,2.06
toora-khem,52.47,34.73,55.0,100.0,2.71
buala,-8.15,83.15,76.0,46.0,9.04
mahibadhoo,3.78,83.19,74.0,67.0,9.28
wahran,,,,,
moca,19.39,78.73,94.0,40.0,4.7
barranca,-10.75,61.53,90.0,93.0,15.9
tabiauea,,,,,
moindou,-21.69,84.2,39.0,20.0,11.41
banyo,6.75,63.69,97.0,100.0,1.41
arkhangelsk,64.54,42.8,100.0,90.0,6.71
tashtagol,52.76,29.67,93.0,100.0,6.91
camopi,3.17,70.95,99.0,17.0,2.66
kota bahru,,,,,
kingsport,36.55,51.58,100.0,90.0,4.16
sioux lookout,50.1,39.54,100.0,20.0,3.13
mvuma,-19.28,77.75,26.0,0.0,6.22
bud,62.91,37.22,86.0,34.0,5.82
lyndon,38.61,46.67,93.0,90.0,6.67
sao filipe,14.9,77.81,87.0,86.0,19.91
galiwinku,,,,,
banepa,27.63,69.8,77.0,75.0,4.7
carbonia,39.17,62.6,88.0,0.0,2.24
acucena,-19.07,66.32,93.0,98.0,2.84
sechura,-5.56,63.08,88.0,67.0,11.39
saint-augustin,45.63,34.54,84.0,5.0,1.34
poletayevo,55.04,24.93,68.0,40.0,11.18
sugod,12.99,84.88,68.0,74.0,6.46
saint-louis,16.03,81.42,74.0,48.0,19.35
tiznit,29.7,65.49,89.0,0.0,8.16
junction city,39.03,47.37,81.0,1.0,8.79
oriximina,-1.77,78.27,85.0,74.0,4.14
kloulklubed,7.04,86.0,70.0,75.0,3.36
antalaha,-14.9,75.12,69.0,55.0,2.73
nemuro,43.32,59.0,58.0,40.0,10.29
ribas do rio pardo,-20.45,69.49,83.0,100.0,4.07
mamou,10.37,67.76,96.0,36.0,2.55
felanitx,39.47,72.73,78.0,20.0,8.05
dunedin,-45.87,53.01,77.0,100.0,13.0
parabel,58.71,25.25,56.0,7.0,5.48
ballina,54.11,48.74,90.0,83.0,5.01
egvekinot,66.32,16.53,85.0,100.0,12.06
saint anthony,43.97,33.12,80.0,40.0,10.29
clyde river,70.47,19.4,79.0,40.0,6.93
mount pleasant,33.16,62.56,88.0,1.0,4.36
bad langensalza,51.11,54.23,82.0,75.0,2.24
tateyama,36.66,68.83,68.0,75.0,6.93
dodoma,-6.18,69.8,77.0,20.0,14.99
kinsale,51.71,45.39,87.0,40.0,13.87
manavalakurichi,8.13,84.2,74.0,40.0,9.17
hvide sande,56.01,49.03,93.0,5.0,4.7
camana,,,,,
katobu,-4.94,96.72,21.0,0.0,11.01
baiyin,36.55,57.2,30.0,0.0,4.47
zeya,53.74,44.96,68.0,0.0,4.99
gasa,27.91,40.11,49.0,37.0,10.2
kovdor,67.56,16.84,90.0,0.0,2.28
portland,43.66,33.93,86.0,1.0,1.01
sao joao da barra,-21.64,69.24,94.0,98.0,0.2
padang,-0.92,78.42,87.0,100.0,15.7
umm lajj,25.02,86.46,65.0,0.0,6.78
mamlyutka,54.94,28.4,54.0,0.0,4.47
semey,50.41,30.2,86.0,90.0,17.9
kirovskiy,45.09,60.74,44.0,0.0,3.78
ugoofaaru,5.67,83.55,76.0,93.0,13.02
mayo,63.59,28.4,92.0,90.0,3.36
labuan,5.28,89.28,62.0,75.0,3.36
behbahan,30.59,78.76,54.0,0.0,11.41
ancud,-41.87,44.6,100.0,90.0,4.7
namatanai,-3.66,82.54,74.0,87.0,10.4
houma,35.63,65.17,25.0,100.0,11.23
visby,57.64,53.37,93.0,100.0,9.17
denpasar,-8.65,87.8,66.0,20.0,11.41
aden,12.79,87.44,52.0,100.0,13.15
douentza,15.01,82.72,30.0,52.0,2.57
hirado,33.32,74.66,73.0,100.0,16.11
basirhat,22.67,89.6,70.0,40.0,3.36
mandapeta,16.87,89.6,66.0,40.0,8.05
longyearbyen,78.22,17.6,78.0,75.0,8.05
sicuani,-14.27,32.84,99.0,100.0,1.34
qasigiannguit,68.82,30.2,74.0,94.0,6.93
komsomolskiy,67.55,25.71,95.0,100.0,18.37
lagoa,37.14,55.58,93.0,0.0,5.82
tobol,59.83,46.49,93.0,100.0,6.93
illela,12.25,77.34,77.0,100.0,7.02
bargal,,,,,
hvittingfoss,59.48,42.17,100.0,90.0,12.75
uddevalla,58.35,49.35,93.0,96.0,5.82
svetlyy,,,,,
marau,-28.45,49.19,69.0,76.0,9.13
copiapo,-27.37,55.4,76.0,90.0,6.93
comodoro rivadavia,-45.87,62.6,48.0,0.0,2.24
bellavista,21.56,69.01,94.0,100.0,1.36
valdivia,-39.81,53.6,87.0,90.0,6.93
chifeng,42.27,52.19,19.0,52.0,18.54
svetlogorsk,53.14,23.0,73.0,40.0,6.71
quelimane,-17.88,78.8,88.0,40.0,4.7
berbera,,,,,
itarema,-2.92,77.7,81.0,60.0,6.53
constantine,36.36,57.2,76.0,0.0,3.36
green river,41.53,28.18,79.0,90.0,34.45
vila velha,-3.71,78.91,78.0,40.0,9.17
karpathos,35.51,71.6,83.0,20.0,31.09
eufaula,31.89,58.87,93.0,90.0,4.7
hofn,64.25,26.0,44.0,68.0,10.31
taltal,-25.41,47.03,90.0,18.0,3.4
sabha,27.03,71.97,57.0,100.0,11.03
starokostyantyniv,49.76,54.48,74.0,37.0,7.14
papara,-3.98,78.91,78.0,40.0,9.17
anadyr,64.73,28.2,92.0,100.0,17.9
nador,35.17,64.4,72.0,40.0,13.87
ibotirama,-12.18,71.9,38.0,61.0,2.19
kasongo-lunda,-6.48,70.14,94.0,73.0,0.6
kalmunai,7.42,92.08,50.0,92.0,2.3
viedma,-40.81,61.25,55.0,20.0,16.69
batagay,67.65,18.71,89.0,97.0,3.04
marzuq,14.4,75.23,23.0,7.0,4.76
talaya,55.79,23.0,49.0,0.0,8.95
ningan,,,,,
beni,0.49,68.73,91.0,100.0,0.27
olinda,-37.84,59.22,54.0,75.0,16.11
tevriz,57.51,28.49,59.0,0.0,4.27
utiroa,,,,,
statesboro,32.45,73.98,88.0,90.0,9.17
saint augustine,10.65,75.52,94.0,20.0,7.83
wajid,3.81,78.38,70.0,91.0,3.58
rundu,-17.91,79.25,12.0,0.0,3.91
plakhtiyivka,46.1,57.03,83.0,0.0,3.15
venado tuerto,-33.75,55.0,77.0,29.0,3.0
chapais,49.78,32.0,91.0,1.0,2.24
umm kaddadah,13.6,86.27,43.0,34.0,2.06
desur,12.43,84.2,79.0,75.0,10.29
pafos,,,,,
zalantun,48.0,54.44,39.0,85.0,11.01
kavieng,-2.57,84.5,73.0,33.0,12.77
quang ngai,15.12,78.56,81.0,68.0,4.23
shenjiamen,29.96,68.77,62.0,4.0,11.34
naruja,41.91,64.36,88.0,75.0,6.93
toliary,,,,,
ylojarvi,61.56,36.54,100.0,75.0,3.36
hays,38.88,47.86,70.0,1.0,10.29
shingu,33.72,75.2,64.0,75.0,10.29
bundaberg,-24.87,82.58,30.0,0.0,24.16
la palma,5.36,67.01,99.0,100.0,0.98
sangar,63.92,30.48,91.0,99.0,2.24
maniitsoq,65.42,33.72,58.0,0.0,7.49
road town,18.42,80.26,78.0,1.0,3.36
padre bernardo,,,,,
marrakesh,31.63,59.0,93.0,40.0,1.12
tafresh,34.69,53.6,50.0,90.0,2.24
opobo,,,,,
alvaraes,-3.22,73.74,91.0,35.0,0.96
imbituba,-28.24,62.6,77.0,0.0,9.17
kaitong,44.81,61.77,25.0,5.0,20.87
ambilobe,-13.19,88.8,33.0,14.0,12.01
jardim,-21.48,67.33,91.0,81.0,3.56
kedrovyy,56.17,24.8,73.0,75.0,4.61
falkoping,,,,,
whitehorse,60.72,25.52,86.0,20.0,3.36
meulaboh,4.14,82.04,77.0,57.0,5.28
marsh harbour,26.54,82.07,82.0,100.0,19.62
letterkenny,54.95,43.84,82.0,45.0,9.66
woodward,36.43,53.91,50.0,1.0,6.93
husavik,50.56,41.0,92.0,28.0,5.01
benalla,-36.55,65.48,42.0,73.0,14.99
utmanzai,34.19,75.2,57.0,20.0,4.7
gull lake,50.1,35.6,69.0,1.0,11.41
khandyga,62.65,32.55,99.0,100.0,3.09
rodrigues alves,-7.74,70.73,98.0,84.0,2.04
vardo,39.62,49.35,93.0,1.0,2.04
tzucacab,20.07,74.75,95.0,3.0,2.82
rawson,-43.3,70.03,30.0,35.0,20.74
horasan,40.04,56.91,45.0,86.0,2.91
soyo,-6.13,78.8,94.0,75.0,4.7
chimore,-16.98,66.66,78.0,94.0,2.08
yumen,40.29,58.02,15.0,4.0,2.42
gaoual,11.75,73.07,98.0,25.0,3.62
okhotsk,59.36,33.74,77.0,79.0,5.32
puerto escondido,15.86,74.46,89.0,50.0,3.53
yithion,,,,,
mlimba,-8.78,71.43,76.0,76.0,6.42
raudeberg,61.99,37.94,80.0,32.0,6.93
matipo,-20.28,65.91,93.0,100.0,1.21
pano aqil,27.86,82.4,51.0,0.0,7.09
dabat,12.98,74.26,63.0,15.0,1.88
garowe,8.41,77.59,66.0,95.0,3.29
manokwari,-0.87,80.04,73.0,44.0,5.7
sibu,2.29,89.24,66.0,75.0,3.36
alexandria,43.97,59.0,63.0,0.0,5.77
bluefields,12.01,72.66,98.0,0.0,1.41
evensk,61.92,19.79,55.0,100.0,1.97
mahon,51.89,44.46,87.0,40.0,13.87
aldan,58.61,37.54,77.0,0.0,3.36
mashhad,36.3,66.2,19.0,0.0,6.93
oksfjord,70.24,19.44,85.0,98.0,14.99
bilma,18.69,83.08,21.0,28.0,7.67
dwarka,28.58,83.95,45.0,40.0,5.82
port hedland,-20.31,102.2,21.0,2.0,13.87
tual,-5.67,79.88,77.0,85.0,9.82
mafeteng,-29.82,68.0,37.0,20.0,4.63
asmara,15.34,79.62,40.0,6.0,4.81
warqla,,,,,
havre-saint-pierre,50.23,37.4,86.0,75.0,9.17
majene,-3.54,83.78,71.0,54.0,4.99
goderich,43.74,42.8,91.0,86.0,17.52
salinas,36.67,55.42,87.0,90.0,5.82
isangel,-19.55,82.4,69.0,75.0,9.17
falavarjan,32.56,59.56,25.0,13.0,4.7
honiara,-9.43,89.6,70.0,40.0,9.17
korsakovo,53.27,50.59,86.0,53.0,6.8
belle fourche,44.67,45.21,37.0,90.0,14.81
ust-omchug,61.13,16.3,84.0,99.0,3.11
mechernich,50.59,51.57,100.0,100.0,3.36
te anau,-45.41,46.4,76.0,51.0,7.99
aqtobe,50.28,32.0,56.0,75.0,15.66
nakusp,50.24,30.0,97.0,41.0,2.26
cuamba,-14.8,78.11,64.0,15.0,9.31
la paz,24.15,73.4,78.0,5.0,9.17
karkaralinsk,,,,,
waddan,29.16,66.75,63.0,92.0,7.23
whitecourt,54.14,29.8,92.0,100.0,8.72
matagami,9.67,67.35,98.0,100.0,2.55
minab,27.15,89.6,62.0,0.0,2.55
xinqing,48.28,56.57,44.0,53.0,7.74
merrill,42.03,34.65,74.0,1.0,3.36
kemijarvi,,,,,
stoyba,,,,,
nalut,31.86,67.87,51.0,0.0,11.03
santiago del estero,-27.8,55.88,70.0,36.0,4.12
panaba,21.28,77.88,91.0,36.0,4.94
souillac,45.6,55.17,100.0,100.0,9.17
olinala,17.83,66.18,94.0,100.0,1.32
shepetivka,50.18,54.77,74.0,7.0,6.98
aksha,50.28,36.5,36.0,0.0,19.66
torres,-29.34,50.48,92.0,50.0,3.04
barwadih,26.9,85.22,56.0,96.0,7.94
kuche,,,,,
ukiah,39.15,48.63,81.0,1.0,3.69
qibili,,,,,
takoradi,4.89,74.17,93.0,93.0,3.91
grand gaube,-20.01,77.0,65.0,75.0,13.87
baykit,61.68,21.41,70.0,99.0,4.61
el alto,-16.5,39.2,86.0,75.0,5.82
porto velho,-8.75,75.2,94.0,20.0,1.9
eyl,7.98,82.05,59.0,100.0,11.41
havelock,34.88,69.53,93.0,90.0,5.82
cockburn town,21.46,82.77,80.0,97.0,16.84
najran,17.54,75.2,27.0,0.0,8.21
baruun-urt,46.68,39.07,32.0,6.0,17.67
salta,-24.79,59.23,82.0,75.0,4.7
